"EMS Payment - Settings","EMS Payment - Einstellungen "
"API Key","API Schlüssel"
"EMS Payment - iDEAL","EMS Payment - iDEAL"
"EMS Payment - Cashondelivery","EMS Payment - Nachnahme"
"EMS Payment - Banktransfer","EMS Payment - Banküberweisung"
"EMS Payment - Mastercard, VISA, Maestro of V PAY","EMS Payment - Mastercard, VISA, Maestro oder V PAY"
"Enabled","Aktiviert"
"Description","Beschreibung"
"EMS Payment - Payconiq","EMS Payment - Payconiq"
"Choose your bank:","Wählen Sie Ihre Bank:"
"Payment is pending","Bezahlung wird verarbeitet"
"Payment is completed","Bezahlung ist erfolgreich abgeschlossen"
"Payment is cancelled","Bezahlung ist annulliert"
"Payment failed with an error","Fehler bei der Verarbeitung Bezahlung"
"Amounts don't match. Possible fraud","Beträge stimmen nicht überein. Möglicher Betrug"
"An error occurred in the process of payment","Leider ist ein Fehler bei der Verarbeitung Ihrer Bezahlung aufgetreten. Bitte noch einmal zu versuchen."
"Unfortunately, we can not currently accept your purchase with Klarna. Please choose another payment option to complete your order. We apologize for the inconvenience","Leider ist ein Fehler bei der Verarbeitung Ihrer Bezahlung aufgetreten. Bitte noch einmal zu versuchen."
"Your order at %s","Ihre Bestellung bei %s"
"Your order %s at %s","Ihre Bestellung %s bei %s"
"Your order has been received.", "Ihre Bestellung ist empfangen worden."
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"Payment instructions:","Zahlungsanweisungen :"
"Please use the following data to make the banktransfer", "Bitte verwenden Sie folgende Bankkontodaten, um die Banküberweisung zu machen"
"EMS processes the payments for", "EMS verarbeitet die Zahlungen für"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!", "(!) Vergessen Sie nicht, die Zahlungsreferenz in Ihrer Bezahlung zu verwenden. Ohne die Referenz kann die Verarbeitung Ihrer Bezahlung mehr Zeit nehmen!"
"Amount:","Betrag:"
"Reference:","Zahlungsreferenz:"
"Account number:","Kontonummer:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Kontoinhaber:"
"City:","Wohnort:"
"Test API Key","Test API Schlüssel"
"Product","EMS Payment Produkt"
"Webhook URL","Webhook URL"
"Bundle CA.cert file","cURL ca.cert bündel benutzen"
"Include Webhook URL with every order creation","Füge eine Webhook URL zu jeder Bestellung."
"Used for testing Klarna payment method.","Der Test-API Key ist nur für Klarna. Entfernen, wenn sie nicht verwendet wird."
"Resolves issue when curl.cacert path is not set in PHP.ini","Löst Frage, wenn curl.cacert Pfad nicht in PHP.ini eingestellt wird."
"Yes","Ja"
"No","Nein"
"Title","Titel"
"Payment from Specific Countries","Erlaube die Zahlung aus bestimmten Ländern mit dieser Zahlungsmethode"
"Send order mail","Senden Sie eine Bestellbestätigungs-E-Mail an den Käufer."
"Generate invoice upon succesfull transaction","Generieren Rechnung bei einer erfolgreichen Transaktion"
"Sort order","Sortierung"
"IP Filtering","IP-Adresse(n) für Prüfung"
"Example Klarna: 127.0.0.1, 255.255.255.255","Sie können spezifische IP-Adressen angeben, für die Klarna sichtbar ist, zB wenn Sie Klarna testen möchten, können Sie IP-Adressen als 128.0.0.1, 255.255.255.255 eingeben. Wenn Sie nichts ausfüllen, dann ist Klarna für alle IP-Adressen sichtbar."
"Example Afterpay: 127.0.0.1, 255.255.255.255","Sie können spezifische IP-Adressen angeben, für die AfterPay sichtbar ist, zB wenn Sie AfterPay testen möchten, können Sie IP-Adressen als 128.0.0.1, 255.255.255.255 eingeben. Wenn Sie nichts ausfüllen, dann ist Klarna für alle IP-Adressen sichtbar."
"Unfortunately, you cannot use AfterPay as Afterpay is only available for addresses in the Netherlands and Belgium. Please use the correct address or select another payment method.","Leider können Sie AfterPay nicht verwenden, da Afterpay nur für Adressen in den Niederlanden und Belgien verfügbar ist. Bitte verwenden Sie die richtige Adresse oder eine andere Zahlungsmethode wählen."
"I accept AfterPay","Ich akzeptiere AfterPay"
"Terms & Conditions", "Nutzungsbedingungen"
